alert_id,transaction_id,customer_id,account_id,alert_date,scenario,alert_score,alert_status,priority,assigned_analyst,resolution_date,false_positive
ALT00027,TXN000311,CUST0170,ACC00225,2023-09-10 19:09:00,Unusual Cash Pattern,82,Closed-False Positive,Low,Analyst_03,2023-09-21 22:09:00,Yes
ALT00028,TXN004612,CUST0314,ACC00414,2024-09-16 22:22:00,Round-Trip Transaction,37,Closed-False Positive,Medium,Analyst_09,2024-11-14 03:45:00,Yes
ALT00029,TXN004852,CUST0148,ACC00196,2023-08-22 08:29:00,High-Risk Geography,45,Open,High,Analyst_01,,No
ALT00030,TXN003332,CUST0287,ACC00376,2024-01-16 22:56:00,Round-Trip Transaction,34,Closed-SAR Filed,Low,Analyst_05,2024-02-05 23:33:00,Yes
ALT00031,TXN003010,CUST0060,ACC00085,2023-09-18 14:05:00,Rapid Movement,70,Under Review,Low,Analyst_04,,No
ALT00032,TXN000794,CUST0148,ACC00197,2022-11-18 23:19:00,Structuring,45,Under Review,High,Analyst_08,,No
ALT00033,TXN004319,CUST0154,ACC00203,2023-01-12 14:00:00,High-Risk Geography,62,Under Review,Low,Analyst_07,,Yes
ALT00034,TXN002648,CUST0003,ACC00004,2024-05-20 17:34:00,Unusual Cash Pattern,50,Closed-False Positive,Medium,Analyst_02,2024-06-19 12:33:00,Yes
ALT00035,TXN003289,CUST0375,ACC00491,2022-10-12 19:04:00,Structuring,98,Under Review,Low,Analyst_04,,No
ALT00036,TXN004536,CUST0254,ACC00334,2022-10-04 11:00:00,Structuring,40,Under Review,High,Analyst_01,,No
ALT00037,TXN003286,CUST0150,ACC00199,2023-08-16 01:00:00,Structuring,78,Open,Low,Analyst_03,,No
ALT00038,TXN001534,CUST0201,ACC00268,2023-06-09 08:12:00,Unusual Cash Pattern,83,Closed-False Positive,Medium,Analyst_10,2023-06-23 22:31:00,No
ALT00039,TXN004146,CUST0050,ACC00069,2022-12-10 15:55:00,High-Risk Geography,66,Open,Medium,Analyst_06,,No
ALT00040,TXN004772,CUST0097,ACC00132,2024-10-09 18:33:00,High-Risk Geography,37,Closed-False Positive,Medium,Analyst_06,2024-11-15 08:06:00,Yes
ALT00041,TXN003963,CUST0030,ACC00042,2022-10-19 16:08:00,Unusual Cash Pattern,51,Under Review,Low,Analyst_04,,No
ALT00042,TXN004869,CUST0380,ACC00499,2024-11-28 13:08:00,Structuring,47,Closed-False Positive,Medium,Analyst_05,2024-12-29 11:38:00,No
ALT00043,TXN004494,CUST0147,ACC00195,2022-12-27 17:45:00,Dormant Account Activity,40,Open,High,Analyst_10,,No
ALT00044,TXN004648,CUST0485,ACC00634,2022-07-19 04:15:00,Unusual Cash Pattern,54,Under Review,Low,Analyst_02,,No
ALT00045,TXN002453,CUST0302,ACC00396,2024-02-17 22:18:00,Layering,92,Under Review,Low,Analyst_10,,Yes
ALT00046,TXN000850,CUST0069,ACC00098,2023-09-20 07:42:00,Layering,44,Open,Medium,Analyst_08,,Yes
ALT00047,TXN000037,CUST0137,ACC00185,2023-10-15 07:36:00,Dormant Account Activity,38,Open,Low,Analyst_04,,No
ALT00048,TXN002324,CUST0440,ACC00576,2023-03-24 09:41:00,Layering,93,Under Review,Low,Analyst_02,,No
ALT00049,TXN004843,CUST0435,ACC00568,2024-02-08 22:30:00,Dormant Account Activity,62,Escalated,High,Analyst_02,2024-02-23 20:30:00,No
ALT00050,TXN002486,CUST0421,ACC00551,2024-03-07 05:37:00,Unusual Cash Pattern,34,Open,Low,Analyst_05,,Yes
ALT00051,TXN002590,CUST0337,ACC00442,2024-01-21 20:46:00,PEP Transaction,36,Open,High,Analyst_06,,No
ALT00052,TXN000237,CUST0259,ACC00340,2022-06-23 23:47:00,PEP Transaction,58,Open,High,Analyst_05,,No
ALT00053,TXN002704,CUST0447,ACC00586,2024-08-10 02:23:00,Rapid Movement,67,Under Review,Medium,Analyst_03,,No
ALT00054,TXN002142,CUST0463,ACC00606,2024-04-18 02:25:00,Round-Trip Transaction,44,Open,High,Analyst_08,,Yes
ALT00055,TXN004460,CUST0231,ACC00305,2023-10-23 12:15:00,Structuring,82,Closed-SAR Filed,Medium,Analyst_07,2023-12-08 12:41:00,No
ALT00056,TXN001596,CUST0303,ACC00398,2022-07-22 05:07:00,Round-Trip Transaction,62,Closed-SAR Filed,Medium,Analyst_07,2022-09-11 10:02:00,No
ALT00057,TXN001942,CUST0020,ACC00027,2023-10-28 03:47:00,Dormant Account Activity,66,Closed-False Positive,High,Analyst_07,2023-11-21 05:55:00,No
ALT00058,TXN000640,CUST0200,ACC00266,2022-10-12 12:13:00,Structuring,85,Open,High,Analyst_06,,No
ALT00059,TXN001160,CUST0326,ACC00428,2022-11-12 17:14:00,PEP Transaction,79,Closed-SAR Filed,Low,Analyst_09,2023-01-05 17:14:00,Yes
ALT00060,TXN003415,CUST0385,ACC00506,2024-01-11 10:37:00,Rapid Movement,85,Closed-False Positive,Medium,Analyst_09,2024-02-22 08:04:00,No
ALT00061,TXN000662,CUST0310,ACC00407,2023-07-05 23:48:00,High-Risk Geography,38,Under Review,Low,Analyst_01,,Yes
ALT00062,TXN000103,CUST0332,ACC00435,2022-12-29 21:29:00,Dormant Account Activity,78,Closed-False Positive,Medium,Analyst_08,2023-01-12 20:56:00,No
ALT00063,TXN003300,CUST0047,ACC00065,2024-02-29 11:49:00,Unusual Cash Pattern,100,Closed-SAR Filed,High,Analyst_03,2024-03-16 16:51:00,Yes
ALT00064,TXN002603,CUST0488,ACC00638,2022-01-21 20:19:00,Layering,87,Closed-False Positive,Low,Analyst_07,2022-02-09 09:39:00,No
ALT00065,TXN004951,CUST0240,ACC00316,2024-11-01 22:51:00,Rapid Movement,81,Under Review,High,Analyst_06,,No
ALT00066,TXN002439,CUST0001,ACC00001,2022-05-14 08:18:00,Layering,32,Closed-False Positive,Medium,Analyst_06,2022-05-21 20:51:00,No
ALT00067,TXN001805,CUST0362,ACC00476,2023-07-22 19:36:00,Dormant Account Activity,35,Under Review,Medium,Analyst_09,,No
ALT00068,TXN002133,CUST0303,ACC00397,2023-07-11 22:37:00,Rapid Movement,70,Closed-SAR Filed,High,Analyst_05,2023-08-27 23:37:00,Yes
ALT00069,TXN000670,CUST0292,ACC00382,2023-09-16 06:44:00,Structuring,90,Closed-SAR Filed,Low,Analyst_09,2023-11-08 11:57:00,No
ALT00070,TXN002879,CUST0188,ACC00250,2023-01-25 08:50:00,Round-Trip Transaction,67,Open,Medium,Analyst_01,,Yes
ALT00071,TXN003052,CUST0180,ACC00239,2024-10-11 06:44:00,High-Risk Geography,99,Under Review,High,Analyst_05,,No
ALT00072,TXN003353,CUST0443,ACC00581,2024-07-02 09:26:00,High-Risk Geography,75,Closed-False Positive,Low,Analyst_05,2024-08-23 19:04:00,No
ALT00073,TXN004189,CUST0418,ACC00548,2024-09-21 08:11:00,Rapid Movement,95,Open,Medium,Analyst_03,,No
ALT00074,TXN004973,CUST0178,ACC00236,2024-10-26 21:21:00,Structuring,81,Closed-False Positive,Medium,Analyst_06,2024-11-29 11:57:00,No
ALT00075,TXN002176,CUST0170,ACC00226,2024-11-28 17:23:00,Layering,87,Under Review,Low,Analyst_05,,No
ALT00076,TXN000435,CUST0292,ACC00382,2022-01-21 01:39:00,Layering,90,Under Review,Low,Analyst_03,,No
ALT00077,TXN001496,CUST0228,ACC00302,2024-05-01 16:49:00,High-Risk Geography,95,Open,High,Analyst_09,,Yes
ALT00078,TXN000897,CUST0259,ACC00341,2023-10-05 04:23:00,High-Risk Geography,100,Under Review,High,Analyst_10,,Yes
ALT00079,TXN004555,CUST0238,ACC00314,2024-11-18 15:30:00,Dormant Account Activity,77,Escalated,Medium,Analyst_05,2024-12-09 07:04:00,No
ALT00080,TXN002385,CUST0201,ACC00267,2024-04-26 07:17:00,Dormant Account Activity,74,Under Review,Medium,Analyst_07,,Yes
ALT00081,TXN000394,CUST0301,ACC00394,2024-05-27 13:21:00,Layering,71,Under Review,Medium,Analyst_09,,No
ALT00082,TXN000380,CUST0075,ACC00105,2022-04-22 02:57:00,Layering,80,Closed-SAR Filed,High,Analyst_08,2022-05-24 01:22:00,No
ALT00083,TXN001021,CUST0476,ACC00623,2023-10-24 13:42:00,Round-Trip Transaction,76,Open,Medium,Analyst_06,,No
ALT00084,TXN003759,CUST0358,ACC00472,2024-08-21 20:58:00,Structuring,32,Closed-SAR Filed,Low,Analyst_04,2024-09-15 09:52:00,No
ALT00085,TXN000778,CUST0272,ACC00357,2023-05-10 14:08:00,Rapid Movement,47,Under Review,High,Analyst_06,,No
ALT00086,TXN003845,CUST0438,ACC00573,2022-10-17 11:58:00,Structuring,53,Escalated,High,Analyst_02,2022-10-25 19:14:00,Yes
ALT00087,TXN000496,CUST0294,ACC00385,2024-04-05 09:13:00,Round-Trip Transaction,88,Closed-False Positive,Medium,Analyst_05,2024-05-31 22:52:00,Yes
ALT00088,TXN003728,CUST0153,ACC00202,2024-08-16 09:52:00,Structuring,74,Closed-False Positive,Low,Analyst_02,2024-09-23 15:34:00,No
ALT00089,TXN001430,CUST0192,ACC00255,2024-09-20 07:24:00,High-Risk Geography,43,Closed-False Positive,Medium,Analyst_02,2024-10-28 05:06:00,No
ALT00090,TXN003927,CUST0251,ACC00331,2024-08-11 02:50:00,PEP Transaction,87,Under Review,Medium,Analyst_09,,No
ALT00091,TXN000452,CUST0400,ACC00524,2022-09-24 17:12:00,Rapid Movement,90,Under Review,Medium,Analyst_06,,No
ALT00092,TXN003867,CUST0132,ACC00179,2024-11-23 13:57:00,Structuring,69,Open,Medium,Analyst_03,,No
ALT00093,TXN003620,CUST0353,ACC00464,2022-08-02 23:26:00,Dormant Account Activity,91,Under Review,High,Analyst_01,,Yes
ALT00094,TXN000997,CUST0302,ACC00395,2022-07-24 00:45:00,High-Risk Geography,93,Under Review,Medium,Analyst_06,,No
ALT00095,TXN001175,CUST0269,ACC00353,2024-07-01 23:45:00,Dormant Account Activity,94,Closed-False Positive,Medium,Analyst_04,2024-07-06 00:08:00,No
ALT00096,TXN004449,CUST0486,ACC00636,2024-07-07 21:29:00,PEP Transaction,43,Closed-SAR Filed,Medium,Analyst_07,2024-08-11 18:23:00,No
ALT00097,TXN003634,CUST0059,ACC00083,2024-12-01 00:32:00,High-Risk Geography,73,Under Review,Medium,Analyst_10,,No
ALT00098,TXN003687,CUST0181,ACC00240,2022-12-10 07:12:00,Round-Trip Transaction,95,Closed-SAR Filed,Medium,Analyst_08,2022-12-29 20:07:00,No
ALT00099,TXN000457,CUST0294,ACC00385,2022-11-23 01:13:00,Rapid Movement,99,Under Review,Medium,Analyst_05,,No
ALT00100,TXN003857,CUST0151,ACC00200,2022-06-14 14:36:00,PEP Transaction,98,Under Review,Medium,Analyst_09,,No
ALT00101,TXN002030,CUST0013,ACC00017,2022-12-02 08:24:00,Layering,98,Open,Medium,Analyst_06,,Yes
ALT00102,TXN001835,CUST0310,ACC00407,2022-06-29 05:31:00,Unusual Cash Pattern,46,Open,High,Analyst_09,,Yes
ALT00103,TXN004978,CUST0136,ACC00184,2022-01-07 08:53:00,High-Risk Geography,43,Open,Medium,Analyst_02,,No
ALT00104,TXN001736,CUST0343,ACC00449,2023-08-16 10:05:00,Rapid Movement,54,Under Review,High,Analyst_09,,No
ALT00105,TXN004905,CUST0140,ACC00188,2024-11-29 02:47:00,Rapid Movement,71,Closed-False Positive,Medium,Analyst_09,2024-12-30 22:39:00,No
ALT00106,TXN002160,CUST0486,ACC00636,2024-12-21 23:13:00,Layering,90,Closed-False Positive,High,Analyst_02,2024-12-26 06:16:00,No
ALT00107,TXN004005,CUST0141,ACC00189,2022-08-30 04:15:00,Dormant Account Activity,93,Closed-SAR Filed,Medium,Analyst_09,2022-10-06 20:50:00,No
ALT00108,TXN004194,CUST0333,ACC00436,2024-10-16 05:50:00,PEP Transaction,57,Under Review,Medium,Analyst_08,,No
ALT00109,TXN001038,CUST0464,ACC00607,2023-02-25 23:46:00,Rapid Movement,32,Escalated,Medium,Analyst_09,2023-03-21 13:01:00,No
ALT00110,TXN003631,CUST0300,ACC00393,2023-01-31 06:52:00,Dormant Account Activity,31,Closed-False Positive,Medium,Analyst_03,2023-02-22 06:18:00,Yes
ALT00111,TXN000632,CUST0494,ACC00645,2024-02-11 07:22:00,Round-Trip Transaction,87,Escalated,High,Analyst_02,2024-02-24 09:09:00,No
ALT00112,TXN000871,CUST0365,ACC00479,2024-02-18 21:12:00,Round-Trip Transaction,95,Closed-False Positive,Low,Analyst_04,2024-03-08 08:07:00,No
ALT00113,TXN003863,CUST0103,ACC00140,2023-08-22 03:13:00,High-Risk Geography,54,Closed-False Positive,Medium,Analyst_05,2023-09-14 10:20:00,No
ALT00114,TXN004905,CUST0140,ACC00188,2022-12-15 23:36:00,Round-Trip Transaction,36,Closed-False Positive,High,Analyst_03,2023-01-16 16:29:00,Yes
ALT00115,TXN004015,CUST0220,ACC00292,2022-09-07 01:53:00,Dormant Account Activity,57,Escalated,Low,Analyst_02,2022-11-01 03:56:00,Yes
ALT00116,TXN003680,CUST0303,ACC00397,2024-08-21 20:16:00,Layering,82,Open,High,Analyst_03,,No
ALT00117,TXN002489,CUST0393,ACC00515,2022-11-09 16:11:00,Round-Trip Transaction,95,Under Review,Medium,Analyst_04,,Yes
ALT00118,TXN000304,CUST0302,ACC00396,2024-06-02 13:30:00,Round-Trip Transaction,98,Open,Medium,Analyst_10,,Yes
ALT00119,TXN001837,CUST0266,ACC00349,2023-02-21 17:12:00,PEP Transaction,75,Closed-False Positive,Medium,Analyst_09,2023-04-11 15:39:00,Yes
ALT00120,TXN002006,CUST0431,ACC00563,2024-01-16 08:35:00,Layering,42,Open,Low,Analyst_09,,No
ALT00121,TXN000793,CUST0281,ACC00367,2022-03-02 16:47:00,High-Risk Geography,46,Closed-SAR Filed,Medium,Analyst_06,2022-04-19 22:33:00,No
ALT00122,TXN004812,CUST0467,ACC00611,2023-07-08 15:09:00,Unusual Cash Pattern,78,Closed-False Positive,Low,Analyst_06,2023-07-15 02:03:00,Yes
ALT00123,TXN004175,CUST0363,ACC00477,2024-10-27 16:23:00,High-Risk Geography,66,Closed-False Positive,Low,Analyst_04,2024-12-08 08:31:00,No
ALT00124,TXN002050,CUST0090,ACC00123,2022-02-20 21:51:00,Structuring,98,Closed-False Positive,Medium,Analyst_02,2022-04-15 06:30:00,Yes
ALT00125,TXN000884,CUST0205,ACC00274,2022-11-17 21:21:00,Layering,60,Open,Medium,Analyst_05,,No
ALT00126,TXN001940,CUST0259,ACC00340,2024-05-06 10:36:00,Unusual Cash Pattern,90,Closed-SAR Filed,Low,Analyst_08,2024-07-02 19:59:00,Yes
ALT00127,TXN004176,CUST0384,ACC00505,2023-12-30 06:51:00,Round-Trip Transaction,63,Escalated,Medium,Analyst_06,2024-02-05 06:47:00,No
ALT00128,TXN004078,CUST0406,ACC00533,2023-03-16 13:17:00,Layering,66,Open,Medium,Analyst_02,,No
ALT00129,TXN000661,CUST0009,ACC00011,2022-02-09 02:42:00,High-Risk Geography,40,Closed-False Positive,Low,Analyst_10,2022-02-19 20:43:00,No
ALT00130,TXN001998,CUST0224,ACC00297,2024-02-16 12:38:00,Structuring,55,Under Review,Low,Analyst_09,,No
ALT00131,TXN000853,CUST0493,ACC00644,2023-01-03 22:22:00,Structuring,46,Under Review,High,Analyst_09,,Yes
ALT00132,TXN001774,CUST0498,ACC00650,2023-11-23 04:35:00,High-Risk Geography,99,Under Review,Medium,Analyst_06,,No
ALT00133,TXN003977,CUST0336,ACC00440,2024-05-15 15:39:00,High-Risk Geography,59,Closed-False Positive,High,Analyst_06,2024-06-09 13:51:00,No
ALT00134,TXN004285,CUST0332,ACC00435,2024-03-29 00:03:00,Layering,96,Under Review,Low,Analyst_03,,No
ALT00135,TXN000777,CUST0473,ACC00619,2023-12-01 01:29:00,Dormant Account Activity,55,Closed-SAR Filed,Medium,Analyst_01,2023-12-27 12:39:00,No
ALT00136,TXN004752,CUST0013,ACC00018,2022-08-03 13:20:00,Structuring,81,Closed-SAR Filed,High,Analyst_06,2022-08-07 07:28:00,No
ALT00137,TXN000805,CUST0052,ACC00072,2023-12-24 04:28:00,Round-Trip Transaction,65,Closed-SAR Filed,Low,Analyst_02,2024-02-21 05:34:00,Yes
ALT00138,TXN004872,CUST0116,ACC00156,2024-05-24 20:49:00,Unusual Cash Pattern,68,Open,High,Analyst_07,,No
ALT00139,TXN004789,CUST0155,ACC00206,2022-11-11 04:52:00,High-Risk Geography,51,Closed-False Positive,Low,Analyst_04,2022-11-30 19:26:00,No
ALT00140,TXN002837,CUST0205,ACC00274,2024-12-10 00:54:00,High-Risk Geography,91,Closed-SAR Filed,Low,Analyst_06,2024-12-25 13:00:00,No
ALT00141,TXN001843,CUST0296,ACC00387,2024-03-03 12:06:00,High-Risk Geography,57,Open,High,Analyst_10,,Yes
ALT00142,TXN000738,CUST0327,ACC00429,2023-07-03 22:53:00,Dormant Account Activity,73,Open,Medium,Analyst_08,,Yes
ALT00143,TXN002435,CUST0003,ACC00005,2023-07-08 03:41:00,PEP Transaction,53,Under Review,Medium,Analyst_09,,No
ALT00144,TXN004223,CUST0395,ACC00517,2023-05-01 07:53:00,Rapid Movement,40,Closed-SAR Filed,Medium,Analyst_03,2023-05-24 07:39:00,No
ALT00145,TXN000072,CUST0327,ACC00429,2022-11-23 08:40:00,High-Risk Geography,96,Closed-False Positive,Medium,Analyst_03,2023-01-19 07:27:00,Yes
ALT00146,TXN002320,CUST0279,ACC00365,2024-05-16 07:45:00,Rapid Movement,62,Open,Medium,Analyst_02,,No
ALT00147,TXN000580,CUST0461,ACC00603,2024-10-15 04:42:00,Dormant Account Activity,40,Closed-SAR Filed,Medium,Analyst_10,2024-12-11 12:39:00,No
ALT00148,TXN000865,CUST0437,ACC00571,2022-04-02 14:40:00,Unusual Cash Pattern,74,Under Review,Medium,Analyst_02,,Yes
ALT00149,TXN000377,CUST0227,ACC00301,2022-06-10 13:31:00,Rapid Movement,46,Open,High,Analyst_07,,No
ALT00150,TXN001395,CUST0214,ACC00286,2024-06-19 14:57:00,PEP Transaction,95,Escalated,Low,Analyst_03,2024-07-04 09:20:00,No
ALT00151,TXN003077,CUST0267,ACC00351,2023-09-06 22:26:00,Dormant Account Activity,33,Under Review,Medium,Analyst_07,,No
ALT00152,TXN001801,CUST0066,ACC00093,2022-12-09 16:09:00,Round-Trip Transaction,59,Under Review,Medium,Analyst_05,,No
ALT00153,TXN001945,CUST0030,ACC00042,2023-03-12 10:44:00,Round-Trip Transaction,73,Closed-SAR Filed,High,Analyst_06,2023-05-02 19:09:00,No
ALT00154,TXN002618,CUST0314,ACC00414,2024-10-23 20:35:00,Layering,78,Under Review,High,Analyst_10,,No
ALT00155,TXN004543,CUST0436,ACC00570,2023-12-31 00:30:00,Layering,52,Under Review,Low,Analyst_09,,No
ALT00156,TXN000624,CUST0009,ACC00011,2022-04-08 21:04:00,Structuring,65,Under Review,Medium,Analyst_06,,No
ALT00157,TXN003428,CUST0409,ACC00537,2022-04-24 06:20:00,Structuring,49,Closed-False Positive,Medium,Analyst_06,2022-05-22 04:31:00,No
ALT00158,TXN004521,CUST0055,ACC00077,2022-07-01 15:37:00,Unusual Cash Pattern,44,Open,High,Analyst_07,,No
ALT00159,TXN003727,CUST0401,ACC00526,2022-04-28 20:09:00,Layering,43,Closed-False Positive,Medium,Analyst_01,2022-05-12 10:32:00,No
ALT00160,TXN001506,CUST0076,ACC00106,2023-07-29 08:40:00,PEP Transaction,41,Closed-False Positive,Medium,Analyst_08,2023-09-08 20:48:00,Yes
ALT00161,TXN003785,CUST0206,ACC00275,2023-07-24 16:50:00,Dormant Account Activity,79,Closed-False Positive,Low,Analyst_05,2023-09-01 12:12:00,No
ALT00162,TXN001656,CUST0010,ACC00013,2022-08-23 16:08:00,Rapid Movement,68,Open,Medium,Analyst_06,,Yes
ALT00163,TXN003469,CUST0393,ACC00515,2022-08-08 17:28:00,PEP Transaction,32,Open,Medium,Analyst_01,,No
ALT00164,TXN004302,CUST0188,ACC00250,2023-01-05 09:30:00,High-Risk Geography,51,Closed-False Positive,Medium,Analyst_08,2023-02-17 04:20:00,No
ALT00165,TXN001681,CUST0024,ACC00032,2022-02-17 20:50:00,Rapid Movement,87,Escalated,High,Analyst_03,2022-04-17 19:27:00,No
ALT00166,TXN001656,CUST0010,ACC00013,2022-05-13 23:56:00,Dormant Account Activity,50,Closed-False Positive,Medium,Analyst_08,2022-06-15 11:46:00,No
ALT00167,TXN002922,CUST0163,ACC00216,2024-02-07 21:51:00,Rapid Movement,78,Under Review,Low,Analyst_08,,No
ALT00168,TXN002590,CUST0337,ACC00442,2022-01-21 10:55:00,Round-Trip Transaction,75,Closed-False Positive,High,Analyst_05,2022-03-19 17:12:00,Yes
ALT00169,TXN000629,CUST0494,ACC00645,2022-04-28 03:40:00,Unusual Cash Pattern,76,Closed-SAR Filed,Medium,Analyst_06,2022-06-10 15:16:00,No
ALT00170,TXN003399,CUST0203,ACC00271,2022-10-11 06:11:00,PEP Transaction,31,Closed-SAR Filed,Low,Analyst_09,2022-12-03 08:40:00,No
ALT00171,TXN002108,CUST0475,ACC00622,2023-01-29 22:22:00,Round-Trip Transaction,31,Under Review,High,Analyst_10,,No
ALT00172,TXN001465,CUST0349,ACC00458,2024-10-25 04:03:00,Unusual Cash Pattern,66,Under Review,Medium,Analyst_08,,Yes
ALT00173,TXN000720,CUST0423,ACC00554,2023-07-01 04:17:00,PEP Transaction,42,Closed-False Positive,Medium,Analyst_06,2023-07-20 20:30:00,No
ALT00174,TXN001315,CUST0475,ACC00621,2023-03-24 01:35:00,Layering,66,Closed-SAR Filed,Low,Analyst_07,2023-05-02 13:39:00,No
ALT00175,TXN002966,CUST0358,ACC00471,2022-07-14 14:47:00,High-Risk Geography,59,Open,High,Analyst_03,,Yes
ALT00176,TXN001267,CUST0483,ACC00632,2023-11-20 13:21:00,Dormant Account Activity,91,Under Review,Medium,Analyst_09,,No
ALT00177,TXN004321,CUST0244,ACC00321,2024-08-30 08:57:00,PEP Transaction,55,Escalated,Medium,Analyst_04,2024-10-10 13:37:00,No
ALT00178,TXN004655,CUST0339,ACC00445,2022-09-02 17:04:00,PEP Transaction,65,Closed-False Positive,Medium,Analyst_07,2022-09-25 09:04:00,No
ALT00179,TXN003960,CUST0326,ACC00428,2023-04-12 17:29:00,Dormant Account Activity,70,Under Review,Medium,Analyst_10,,Yes
ALT00180,TXN000918,CUST0242,ACC00319,2024-04-21 18:59:00,Dormant Account Activity,81,Under Review,High,Analyst_05,,Yes
ALT00181,TXN003212,CUST0036,ACC00049,2024-02-04 06:30:00,High-Risk Geography,67,Under Review,Low,Analyst_02,,No
ALT00182,TXN002177,CUST0358,ACC00471,2022-09-02 05:55:00,Round-Trip Transaction,32,Closed-False Positive,Low,Analyst_09,2022-09-13 00:15:00,No
ALT00183,TXN004958,CUST0344,ACC00450,2023-02-03 02:37:00,High-Risk Geography,100,Closed-SAR Filed,High,Analyst_09,2023-03-26 08:02:00,Yes
ALT00184,TXN000729,CUST0013,ACC00017,2024-07-25 08:49:00,Layering,91,Under Review,Low,Analyst_10,,Yes
ALT00185,TXN000796,CUST0274,ACC00359,2022-08-13 04:07:00,High-Risk Geography,33,Under Review,Low,Analyst_01,,Yes
ALT00186,TXN001515,CUST0043,ACC00058,2024-08-19 03:34:00,Structuring,68,Closed-SAR Filed,Low,Analyst_08,2024-08-27 08:18:00,No
ALT00187,TXN003992,CUST0152,ACC00201,2024-01-26 00:54:00,High-Risk Geography,46,Closed-False Positive,Low,Analyst_02,2024-03-14 09:19:00,Yes
ALT00188,TXN000640,CUST0200,ACC00266,2024-04-05 15:13:00,Layering,69,Closed-False Positive,Medium,Analyst_07,2024-05-27 10:53:00,No
ALT00189,TXN003544,CUST0282,ACC00369,2022-06-19 09:25:00,Round-Trip Transaction,89,Escalated,Medium,Analyst_10,2022-08-07 07:32:00,No
