transaction_id,sender_account_id,receiver_account_id,transaction_type,amount,currency,transaction_date,channel,country_origin,country_destination,transaction_status,remarks
TXN000017,ACC00039,ACC00075,Cheque,4029.6,EUR,2022-08-09 22:28:00,SWIFT,Bahamas,Russia,Completed,Loan Repayment
TXN000018,ACC00503,ACC00449,Wire Transfer,6141.76,USD,2023-01-29 02:37:00,Online,Singapore,UK,Pending,Business Payment
TXN000019,ACC00369,ACC00418,Cash Deposit,44444.14,AED,2024-12-17 15:12:00,Mobile,Cayman Islands,Nigeria,Completed,Personal Transfer
TXN000020,ACC00573,ACC00142,Wire Transfer,26994.0,USD,2022-09-18 16:19:00,Mobile,Australia,Japan,Completed,Personal Transfer
TXN000021,ACC00339,ACC00024,Wire Transfer,2093.79,AED,2022-05-20 05:18:00,SWIFT,UK,Japan,Pending,Personal Transfer
TXN000022,ACC00513,ACC00320,Wire Transfer,3653.05,GBP,2023-06-23 20:01:00,Mobile,UK,Panama,Completed,N/A
TXN000023,ACC00061,ACC00143,Wire Transfer,42487.26,AED,2022-05-08 07:31:00,SWIFT,France,UK,Completed,Business Payment
TXN000024,ACC00427,ACC00613,Cheque,6679.68,AED,2022-03-27 03:02:00,Online,Japan,Bahamas,Completed,Loan Repayment
TXN000025,ACC00234,ACC00022,ATM Withdrawal,8388.09,USD,2024-02-16 21:43:00,SWIFT,Japan,UAE,Completed,N/A
TXN000026,ACC00387,ACC00129,Cash Withdrawal,3924.5,INR,2024-01-24 11:12:00,Branch,Japan,Japan,Completed,Personal Transfer
TXN000027,ACC00011,ACC00233,Wire Transfer,9900.08,EUR,2023-05-27 01:04:00,Mobile,Germany,Australia,Completed,Loan Repayment
TXN000028,ACC00359,ACC00617,Wire Transfer,5931.36,GBP,2022-09-08 21:04:00,SWIFT,Bahamas,Singapore,Completed,Trade Settlement
TXN000029,ACC00366,ACC00226,Cash Withdrawal,4047.52,GBP,2023-05-16 16:57:00,SWIFT,Japan,Nigeria,Completed,Loan Repayment
TXN000030,ACC00421,ACC00637,Cash Deposit,12216.29,USD,2023-09-17 23:35:00,ATM,Japan,Canada,Completed,Salary
TXN000031,ACC00451,ACC00465,Cash Withdrawal,8582.1,AED,2023-09-08 02:03:00,Mobile,Singapore,UAE,Completed,Investment
TXN000032,ACC00394,ACC00455,Cash Withdrawal,495.3,USD,2023-09-17 01:34:00,SWIFT,France,British Virgin Islands,Failed,Loan Repayment
TXN000033,ACC00606,ACC00222,Cheque,6839.54,GBP,2022-04-27 03:35:00,SWIFT,British Virgin Islands,Seychelles,Completed,Trade Settlement
TXN000034,ACC00582,ACC00532,ATM Withdrawal,260299.61,GBP,2022-02-01 08:51:00,Branch,Germany,Japan,Completed,Loan Repayment
TXN000035,ACC00346,ACC00585,Online Transfer,34237.44,GBP,2022-01-26 03:19:00,ATM,Japan,Australia,Completed,Business Payment
TXN000036,ACC00451,ACC00010,Cash Withdrawal,48601.31,AED,2022-04-30 18:05:00,SWIFT,Singapore,British Virgin Islands,Failed,Investment
TXN000037,ACC00185,ACC00265,Wire Transfer,6917.19,EUR,2022-10-28 19:41:00,Branch,Singapore,UK,Completed,Personal Transfer
TXN000038,ACC00451,ACC00594,Cash Withdrawal,152578.59,AED,2023-06-12 00:43:00,Branch,Singapore,Japan,Completed,Business Payment
TXN000039,ACC00520,ACC00455,Cheque,1107.32,GBP,2024-05-01 02:41:00,Online,Canada,USA,Completed,N/A
TXN000040,ACC00369,ACC00344,Wire Transfer,218622.02,GBP,2022-03-05 05:23:00,Online,Cayman Islands,USA,Completed,Salary
TXN000041,ACC00321,ACC00524,ATM Withdrawal,39423.78,EUR,2024-02-15 18:02:00,Mobile,France,Germany,Failed,Salary
TXN000042,ACC00579,ACC00516,Cheque,8980.54,AED,2024-12-16 01:38:00,SWIFT,Canada,Seychelles,Completed,Salary
TXN000043,ACC00590,ACC00301,ATM Withdrawal,409552.68,EUR,2023-10-07 23:07:00,Mobile,Nigeria,Cyprus,Completed,Loan Repayment
TXN000044,ACC00574,ACC00518,Cash Deposit,780.35,AED,2023-04-16 18:52:00,Online,Australia,Cyprus,Completed,Trade Settlement
TXN000045,ACC00142,ACC00621,ATM Withdrawal,2416.48,EUR,2022-10-31 18:31:00,Online,France,Seychelles,Completed,Business Payment
TXN000046,ACC00429,ACC00270,Cash Deposit,6913.04,USD,2024-06-02 00:44:00,Online,Cayman Islands,Nigeria,Pending,Investment
TXN000047,ACC00433,ACC00363,Online Transfer,1234.33,USD,2023-11-21 18:38:00,Branch,Australia,Germany,Completed,Loan Repayment
TXN000048,ACC00460,ACC00419,Online Transfer,39368.6,AED,2023-01-11 23:49:00,Branch,Malta,Canada,Pending,Personal Transfer
TXN000049,ACC00608,ACC00379,Cash Withdrawal,6097.77,INR,2023-07-27 03:14:00,ATM,UK,UK,Completed,Personal Transfer
TXN000050,ACC00594,ACC00521,ATM Withdrawal,7612.18,EUR,2022-10-21 01:52:00,Mobile,Panama,Nigeria,Completed,Personal Transfer
TXN000051,ACC00322,ACC00102,Cash Withdrawal,3191.38,AED,2022-12-13 09:58:00,Branch,UK,Japan,Completed,Salary
TXN000052,ACC00099,ACC00212,Wire Transfer,9944.43,GBP,2023-02-04 00:31:00,Online,Japan,Cayman Islands,Failed,Personal Transfer
TXN000053,ACC00437,ACC00456,Cheque,4735.96,INR,2022-09-03 14:56:00,ATM,Canada,Germany,Pending,Loan Repayment
TXN000054,ACC00120,ACC00363,ATM Withdrawal,7252.41,AED,2023-11-18 08:29:00,Branch,Japan,British Virgin Islands,Pending,Business Payment
TXN000055,ACC00444,ACC00103,Wire Transfer,41562.09,EUR,2022-03-14 20:40:00,Online,USA,Malta,Pending,Salary
TXN000056,ACC00201,ACC00272,ATM Withdrawal,4284.03,EUR,2022-07-01 16:54:00,Branch,UK,Cyprus,Completed,Personal Transfer
TXN000057,ACC00626,ACC00214,Cheque,6418.92,AED,2023-04-26 20:22:00,Online,Panama,Cayman Islands,Pending,Loan Repayment
TXN000058,ACC00497,ACC00502,Cheque,7191.04,GBP,2022-08-19 09:26:00,Online,Japan,Cyprus,Completed,Investment
TXN000059,ACC00327,ACC00117,ATM Withdrawal,25321.66,EUR,2024-09-28 19:26:00,Branch,Singapore,Cayman Islands,Completed,Salary
TXN000060,ACC00419,ACC00063,Wire Transfer,5104.09,GBP,2024-05-20 12:16:00,Mobile,Germany,Japan,Completed,N/A
TXN000061,ACC00047,ACC00316,Cash Withdrawal,4083.96,EUR,2022-08-14 19:39:00,SWIFT,Germany,Russia,Completed,Trade Settlement
TXN000062,ACC00022,ACC00389,Cash Withdrawal,37893.95,AED,2022-04-11 16:13:00,Online,Cyprus,Australia,Pending,Investment
TXN000063,ACC00235,ACC00298,Wire Transfer,7231.44,AED,2022-01-28 01:54:00,Branch,Japan,Nigeria,Completed,Investment
TXN000064,ACC00044,ACC00161,Cash Deposit,9874.21,GBP,2024-02-13 20:25:00,Branch,British Virgin Islands,Germany,Completed,Trade Settlement
TXN000065,ACC00426,ACC00021,Online Transfer,231.2,GBP,2024-03-12 06:53:00,ATM,UK,Cyprus,Completed,Business Payment
TXN000066,ACC00310,ACC00281,Cheque,4184.26,AED,2024-05-29 02:14:00,ATM,Singapore,UAE,Completed,Trade Settlement
TXN000067,ACC00547,ACC00519,Online Transfer,2277.06,USD,2022-08-10 14:14:00,Mobile,UK,Japan,Completed,Investment
TXN000068,ACC00577,ACC00112,Cheque,414356.35,AED,2022-12-13 06:55:00,Online,Nigeria,Germany,Completed,Personal Transfer
TXN000069,ACC00485,ACC00536,Cash Deposit,32232.21,USD,2023-09-30 23:21:00,ATM,Japan,Cyprus,Pending,Loan Repayment
TXN000070,ACC00215,ACC00576,ATM Withdrawal,31369.14,USD,2024-09-16 16:35:00,Branch,UK,Cyprus,Completed,Investment
TXN000071,ACC00131,ACC00014,Cash Deposit,1542.63,AED,2022-03-21 13:31:00,Mobile,British Virgin Islands,Canada,Completed,Personal Transfer
TXN000072,ACC00429,ACC00409,Online Transfer,13820.91,GBP,2023-07-10 16:20:00,SWIFT,Cayman Islands,Australia,Completed,Personal Transfer
TXN000073,ACC00210,ACC00629,Cash Deposit,8572.76,EUR,2023-11-08 23:46:00,SWIFT,Cayman Islands,UAE,Completed,Investment
TXN000074,ACC00184,ACC00154,Cash Withdrawal,49725.72,USD,2022-07-12 17:29:00,Branch,USA,Seychelles,Completed,Business Payment
TXN000075,ACC00359,ACC00652,Cash Withdrawal,332969.79,GBP,2024-05-22 18:46:00,SWIFT,Bahamas,Malta,Failed,Personal Transfer
TXN000076,ACC00555,ACC00208,Online Transfer,789.54,AED,2022-07-29 04:51:00,Mobile,Japan,British Virgin Islands,Completed,N/A
TXN000077,ACC00607,ACC00620,Cash Deposit,42099.28,EUR,2022-12-11 00:50:00,Branch,Panama,Canada,Completed,Investment
TXN000078,ACC00001,ACC00332,Online Transfer,48763.52,USD,2024-08-24 10:19:00,Online,Panama,Russia,Completed,N/A
TXN000079,ACC00395,ACC00486,Cash Withdrawal,3259.43,EUR,2023-03-15 05:40:00,Mobile,Bahamas,Russia,Completed,Trade Settlement
TXN000080,ACC00257,ACC00124,ATM Withdrawal,5065.36,INR,2024-08-12 21:22:00,Online,Germany,Russia,Pending,Salary
TXN000081,ACC00392,ACC00384,Cash Withdrawal,1693.15,USD,2022-01-12 18:19:00,ATM,France,Panama,Completed,Business Payment
TXN000082,ACC00622,ACC00280,Wire Transfer,398.4,AED,2023-06-03 08:40:00,Branch,Singapore,UAE,Reversed,Trade Settlement
TXN000083,ACC00466,ACC00503,ATM Withdrawal,1646.56,EUR,2024-01-27 00:39:00,Online,Japan,Canada,Completed,N/A
TXN000084,ACC00123,ACC00058,ATM Withdrawal,38134.23,USD,2023-02-02 20:39:00,ATM,Cayman Islands,British Virgin Islands,Pending,Salary
TXN000085,ACC00601,ACC00376,Online Transfer,47562.35,EUR,2022-05-14 06:52:00,ATM,Singapore,Germany,Completed,Business Payment
TXN000086,ACC00283,ACC00624,Online Transfer,29724.1,GBP,2022-01-07 09:17:00,Branch,Germany,British Virgin Islands,Completed,N/A
TXN000087,ACC00089,ACC00580,Wire Transfer,8379.43,EUR,2023-10-13 18:40:00,Branch,France,Singapore,Completed,Investment
TXN000088,ACC00084,ACC00253,Cheque,36916.51,GBP,2022-09-29 09:03:00,Online,Japan,Panama,Completed,Loan Repayment
TXN000089,ACC00424,ACC00232,Cheque,139651.09,GBP,2024-06-19 08:05:00,SWIFT,Singapore,Bahamas,Completed,Trade Settlement
TXN000090,ACC00536,ACC00461,Cash Deposit,126713.59,INR,2022-11-15 17:36:00,ATM,Germany,Cayman Islands,Completed,Trade Settlement
TXN000091,ACC00516,ACC00565,Wire Transfer,41566.1,AED,2024-08-15 08:02:00,Online,Singapore,UAE,Completed,Personal Transfer
TXN000092,ACC00331,ACC00382,Cheque,5117.55,INR,2024-01-05 00:10:00,ATM,USA,British Virgin Islands,Completed,Business Payment
TXN000093,ACC00192,ACC00367,ATM Withdrawal,2825.85,INR,2024-07-23 18:36:00,Mobile,UK,UAE,Pending,Loan Repayment
TXN000094,ACC00383,ACC00616,Cheque,185077.98,GBP,2024-11-04 03:26:00,SWIFT,France,Malta,Completed,Salary
TXN000095,ACC00525,ACC00171,Cash Withdrawal,484356.02,USD,2022-10-13 04:42:00,Branch,USA,Cayman Islands,Completed,Salary
TXN000096,ACC00355,ACC00470,Cash Deposit,3624.35,EUR,2023-09-22 02:11:00,Mobile,Germany,Germany,Completed,Salary
TXN000097,ACC00569,ACC00384,Cheque,144.01,INR,2023-03-12 15:42:00,Online,UK,France,Completed,Loan Repayment
TXN000098,ACC00137,ACC00410,Cash Withdrawal,45818.87,INR,2024-03-17 17:04:00,SWIFT,USA,USA,Completed,Personal Transfer
TXN000099,ACC00183,ACC00241,Cash Deposit,3385.28,INR,2022-06-08 20:14:00,Online,Seychelles,UK,Completed,Investment
TXN000100,ACC00096,ACC00348,Cheque,3518.19,EUR,2024-09-11 01:16:00,Online,UAE,Malta,Completed,N/A
TXN000101,ACC00109,ACC00477,Cash Deposit,23197.76,AED,2022-01-26 05:20:00,SWIFT,USA,Malta,Completed,Business Payment
TXN000102,ACC00498,ACC00412,Cheque,11234.96,GBP,2024-07-11 16:23:00,SWIFT,France,Bahamas,Completed,Salary
TXN000103,ACC00435,ACC00545,Online Transfer,6860.54,INR,2023-06-13 06:32:00,Mobile,Cayman Islands,UK,Completed,Business Payment
TXN000104,ACC00125,ACC00502,Cash Withdrawal,4196.23,EUR,2023-08-30 00:34:00,ATM,Germany,Bahamas,Completed,Investment
TXN000105,ACC00333,ACC00305,Online Transfer,5760.25,USD,2023-05-25 05:05:00,Online,British Virgin Islands,Canada,Completed,Investment
TXN000106,ACC00282,ACC00354,Wire Transfer,37248.67,USD,2024-12-08 18:29:00,ATM,Canada,Bahamas,Completed,Personal Transfer
TXN000107,ACC00104,ACC00392,ATM Withdrawal,4662.43,GBP,2024-03-31 00:11:00,Branch,Germany,Cyprus,Reversed,N/A
TXN000108,ACC00197,ACC00585,Cheque,21431.26,EUR,2022-04-11 11:36:00,Mobile,Canada,Panama,Completed,N/A
TXN000109,ACC00191,ACC00284,Wire Transfer,4563.91,INR,2022-01-11 13:13:00,Online,Germany,Panama,Completed,Personal Transfer
TXN000110,ACC00651,ACC00326,ATM Withdrawal,964.61,AED,2024-08-01 18:26:00,ATM,Germany,Russia,Completed,Personal Transfer
TXN000111,ACC00013,ACC00352,Cash Deposit,3131.3,INR,2023-03-08 17:44:00,ATM,Japan,Malta,Completed,N/A
TXN000112,ACC00586,ACC00081,Cash Withdrawal,5719.32,INR,2024-01-27 09:18:00,Mobile,Japan,USA,Completed,Personal Transfer
TXN000113,ACC00171,ACC00640,Online Transfer,3229.47,EUR,2024-10-02 07:24:00,Mobile,Singapore,France,Completed,Salary
TXN000114,ACC00217,ACC00114,Cash Withdrawal,16323.52,EUR,2024-04-01 17:26:00,Mobile,Japan,Panama,Completed,Loan Repayment
TXN000115,ACC00646,ACC00109,Cheque,6011.69,INR,2024-12-26 12:14:00,Mobile,UK,Cayman Islands,Pending,Investment
TXN000116,ACC00161,ACC00182,ATM Withdrawal,9136.83,INR,2022-07-21 12:37:00,Mobile,Bahamas,Cyprus,Completed,Business Payment
TXN000117,ACC00634,ACC00230,Cash Deposit,1333.29,EUR,2022-02-16 10:39:00,SWIFT,Germany,UAE,Completed,Loan Repayment
TXN000118,ACC00024,ACC00616,ATM Withdrawal,35818.76,EUR,2022-11-27 14:23:00,Online,Germany,UAE,Failed,Salary
TXN000119,ACC00331,ACC00136,Cash Deposit,2707.54,INR,2024-06-27 07:50:00,SWIFT,USA,France,Pending,N/A
TXN000120,ACC00340,ACC00164,Cheque,38603.9,USD,2024-04-12 16:30:00,Mobile,France,Panama,Pending,Personal Transfer
TXN000121,ACC00124,ACC00622,ATM Withdrawal,5859.1,USD,2023-08-23 12:53:00,ATM,Germany,Malta,Completed,Personal Transfer
TXN000122,ACC00645,ACC00451,Cash Withdrawal,3914.44,INR,2022-08-17 23:10:00,ATM,UK,Canada,Failed,N/A
TXN000123,ACC00495,ACC00216,Cash Withdrawal,2454.12,INR,2023-05-17 08:21:00,ATM,Australia,Seychelles,Completed,Personal Transfer
TXN000124,ACC00282,ACC00609,Cash Withdrawal,418.13,EUR,2024-01-13 22:18:00,SWIFT,Canada,Cayman Islands,Completed,Investment
TXN000125,ACC00302,ACC00159,Cash Deposit,6719.23,AED,2023-04-12 00:54:00,ATM,France,Canada,Completed,Loan Repayment
TXN000126,ACC00373,ACC00521,Online Transfer,6734.57,AED,2023-12-06 20:09:00,ATM,USA,Nigeria,Completed,N/A
TXN000127,ACC00497,ACC00174,Cash Withdrawal,7849.96,EUR,2022-05-13 10:14:00,Online,Japan,Canada,Completed,N/A
TXN000128,ACC00123,ACC00202,Cash Deposit,460716.13,GBP,2024-12-09 07:47:00,Branch,Cayman Islands,Malta,Completed,Loan Repayment
TXN000129,ACC00520,ACC00069,Online Transfer,2516.11,EUR,2022-04-25 14:36:00,Online,Canada,Panama,Completed,Salary
TXN000130,ACC00251,ACC00234,ATM Withdrawal,6237.77,USD,2022-07-07 23:12:00,Online,France,Nigeria,Completed,Salary
TXN000131,ACC00234,ACC00250,Cash Deposit,5312.53,INR,2023-10-16 20:04:00,Branch,Japan,Seychelles,Completed,Salary
TXN000132,ACC00103,ACC00556,Cheque,5345.45,EUR,2022-08-17 23:56:00,SWIFT,Singapore,Seychelles,Reversed,Loan Repayment
TXN000133,ACC00417,ACC00616,Online Transfer,2509.61,EUR,2023-09-06 08:55:00,ATM,UK,Panama,Completed,Personal Transfer
TXN000134,ACC00317,ACC00641,Cash Deposit,4016.39,EUR,2024-11-09 15:31:00,Branch,Canada,Cyprus,Completed,Business Payment
TXN000135,ACC00454,ACC00351,Cash Withdrawal,31082.19,GBP,2023-03-13 09:32:00,SWIFT,Australia,UAE,Completed,Loan Repayment
TXN000136,ACC00625,ACC00216,Cash Deposit,15338.5,GBP,2022-11-20 19:42:00,SWIFT,Australia,UAE,Completed,N/A
TXN000137,ACC00427,ACC00276,Cash Withdrawal,19777.07,GBP,2023-09-20 10:46:00,Mobile,Japan,Cayman Islands,Completed,Investment
TXN000138,ACC00428,ACC00006,ATM Withdrawal,6883.78,EUR,2024-07-24 08:01:00,Online,Bahamas,Panama,Completed,Loan Repayment
TXN000139,ACC00025,ACC00330,Cash Withdrawal,24678.66,USD,2024-10-27 14:54:00,Branch,Germany,Japan,Completed,Trade Settlement
TXN000140,ACC00492,ACC00608,Online Transfer,48816.46,AED,2024-09-24 07:17:00,Mobile,Germany,UK,Completed,Trade Settlement
TXN000141,ACC00351,ACC00283,ATM Withdrawal,4887.27,INR,2022-06-01 10:49:00,Online,Singapore,Canada,Completed,Personal Transfer
TXN000142,ACC00205,ACC00576,Wire Transfer,19054.29,EUR,2024-12-23 09:44:00,Branch,UAE,British Virgin Islands,Failed,Loan Repayment
TXN000143,ACC00457,ACC00220,ATM Withdrawal,1738.85,USD,2023-06-15 08:38:00,Online,Germany,France,Completed,Investment
TXN000144,ACC00406,ACC00499,Cash Withdrawal,77128.86,AED,2024-06-14 01:32:00,Mobile,Australia,Cayman Islands,Completed,Trade Settlement
TXN000145,ACC00069,ACC00078,Cheque,5131.23,AED,2022-06-29 18:59:00,Online,Russia,Germany,Completed,Investment
TXN000146,ACC00284,ACC00477,ATM Withdrawal,45102.16,INR,2023-11-27 14:33:00,Branch,Germany,Malta,Completed,Business Payment
TXN000147,ACC00639,ACC00400,ATM Withdrawal,267.96,EUR,2023-10-31 17:29:00,SWIFT,Bahamas,Bahamas,Pending,Trade Settlement
TXN000148,ACC00591,ACC00157,Cash Withdrawal,1780.74,USD,2022-03-22 04:34:00,ATM,France,British Virgin Islands,Failed,Trade Settlement
TXN000149,ACC00214,ACC00207,Cheque,171985.07,USD,2023-12-29 00:08:00,Mobile,UK,USA,Completed,Trade Settlement
TXN000150,ACC00214,ACC00390,Online Transfer,26980.42,AED,2022-09-13 02:11:00,SWIFT,UK,France,Completed,Salary
TXN000151,ACC00124,ACC00501,Cheque,6691.71,GBP,2022-07-05 16:23:00,SWIFT,Germany,France,Failed,Business Payment
TXN000152,ACC00008,ACC00390,ATM Withdrawal,7250.36,GBP,2022-05-14 13:54:00,Online,UK,Germany,Completed,N/A
TXN000153,ACC00400,ACC00483,Cash Deposit,9922.86,AED,2022-12-30 18:00:00,Online,Bahamas,Canada,Completed,N/A
TXN000154,ACC00040,ACC00063,Cash Deposit,5406.22,AED,2022-11-19 13:11:00,Online,USA,Australia,Completed,Business Payment
TXN000155,ACC00167,ACC00031,Wire Transfer,331390.62,GBP,2023-10-20 00:50:00,Branch,USA,UAE,Completed,N/A
TXN000156,ACC00148,ACC00418,Cash Deposit,513.85,USD,2022-01-31 11:57:00,Mobile,UK,Germany,Completed,Investment
TXN000157,ACC00476,ACC00426,Cash Withdrawal,7719.65,EUR,2023-09-30 15:30:00,ATM,Nigeria,Russia,Completed,Personal Transfer
TXN000158,ACC00099,ACC00490,Wire Transfer,4485.94,USD,2022-10-20 07:42:00,Mobile,Japan,Cayman Islands,Pending,Business Payment
TXN000159,ACC00256,ACC00232,Cash Withdrawal,38931.24,EUR,2024-11-30 16:36:00,ATM,Malta,Cyprus,Completed,Salary
TXN000160,ACC00594,ACC00036,Wire Transfer,41790.63,EUR,2022-01-30 04:40:00,Online,Panama,Malta,Completed,Personal Transfer
TXN000161,ACC00493,ACC00496,Cash Withdrawal,441286.63,AED,2023-03-16 14:39:00,Mobile,Bahamas,France,Completed,Trade Settlement
TXN000162,ACC00527,ACC00346,ATM Withdrawal,45593.6,GBP,2024-07-23 21:06:00,SWIFT,Germany,Panama,Completed,Loan Repayment
TXN000163,ACC00437,ACC00027,Cash Withdrawal,8686.31,GBP,2023-08-29 04:55:00,Mobile,Canada,Cyprus,Completed,Business Payment
TXN000164,ACC00517,ACC00187,ATM Withdrawal,3638.27,GBP,2023-03-31 00:12:00,SWIFT,France,Canada,Completed,Personal Transfer
TXN000165,ACC00538,ACC00049,ATM Withdrawal,153690.6,EUR,2024-02-06 05:06:00,SWIFT,Singapore,Japan,Pending,N/A
TXN000166,ACC00156,ACC00554,Online Transfer,8485.51,INR,2024-03-31 09:24:00,Mobile,Panama,Seychelles,Completed,Trade Settlement
TXN000167,ACC00308,ACC00001,Cheque,766.35,EUR,2022-05-17 01:48:00,Online,Singapore,UAE,Pending,N/A
TXN000168,ACC00249,ACC00401,Cash Deposit,7098.18,INR,2022-05-25 07:17:00,Branch,Singapore,Canada,Completed,Salary
TXN000169,ACC00283,ACC00336,Cheque,195.84,GBP,2024-08-22 07:42:00,Branch,Germany,Russia,Completed,Investment
TXN000170,ACC00158,ACC00073,Cash Withdrawal,39924.26,USD,2022-03-25 12:53:00,Mobile,Australia,Cyprus,Completed,Trade Settlement
TXN000171,ACC00499,ACC00299,ATM Withdrawal,2099.24,INR,2024-01-13 07:55:00,Mobile,France,Cyprus,Completed,Business Payment
TXN000172,ACC00287,ACC00283,Wire Transfer,35250.88,INR,2024-01-01 02:00:00,Online,Panama,UAE,Completed,Investment
TXN000173,ACC00273,ACC00107,Wire Transfer,8975.99,AED,2024-11-28 21:24:00,Branch,UAE,France,Completed,Business Payment
TXN000174,ACC00245,ACC00370,Cheque,38081.52,INR,2022-03-23 11:41:00,SWIFT,Panama,Nigeria,Completed,Investment
TXN000175,ACC00644,ACC00443,Cheque,6054.71,USD,2022-07-22 09:58:00,Mobile,Cyprus,Panama,Completed,Trade Settlement
TXN000176,ACC00353,ACC00361,Online Transfer,8764.86,AED,2023-06-23 05:13:00,ATM,Germany,Malta,Completed,N/A
TXN000177,ACC00177,ACC00512,Cash Withdrawal,22684.29,USD,2023-04-12 10:53:00,Branch,UK,Malta,Completed,Investment
TXN000178,ACC00191,ACC00392,Cash Withdrawal,1899.13,USD,2024-01-11 05:10:00,Branch,Germany,Singapore,Completed,Personal Transfer
TXN000179,ACC00574,ACC00304,ATM Withdrawal,31068.43,INR,2022-07-05 22:38:00,ATM,Australia,Canada,Completed,Personal Transfer
TXN000180,ACC00363,ACC00407,Wire Transfer,24794.85,GBP,2023-08-25 19:36:00,Online,Singapore,Seychelles,Pending,Salary
TXN000181,ACC00562,ACC00159,ATM Withdrawal,20225.32,EUR,2023-05-18 07:28:00,Online,Bahamas,USA,Completed,Business Payment
TXN000182,ACC00627,ACC00495,ATM Withdrawal,7557.58,AED,2024-11-28 18:25:00,Mobile,Panama,Panama,Completed,Loan Repayment
TXN000183,ACC00270,ACC00442,ATM Withdrawal,3395.03,EUR,2022-10-03 10:55:00,SWIFT,UAE,Canada,Completed,N/A
TXN000184,ACC00520,ACC00488,Online Transfer,4864.7,USD,2023-04-04 14:17:00,Mobile,Canada,Seychelles,Completed,Investment
TXN000185,ACC00067,ACC00176,Cash Withdrawal,27387.2,USD,2022-10-30 02:43:00,ATM,Japan,Panama,Failed,Trade Settlement
TXN000186,ACC00029,ACC00613,ATM Withdrawal,474236.67,GBP,2024-07-14 09:34:00,ATM,Nigeria,Japan,Completed,Personal Transfer
TXN000187,ACC00417,ACC00148,Cash Withdrawal,49187.32,AED,2022-04-19 22:48:00,Branch,UK,Germany,Completed,Personal Transfer
TXN000188,ACC00424,ACC00166,Cheque,19200.78,USD,2023-01-07 00:41:00,ATM,Singapore,Germany,Completed,Investment
TXN000189,ACC00588,ACC00397,ATM Withdrawal,24632.92,INR,2023-09-30 11:11:00,ATM,Germany,UAE,Completed,Loan Repayment
TXN000190,ACC00412,ACC00206,Online Transfer,2117.1,USD,2024-12-08 08:01:00,SWIFT,Canada,UK,Completed,Business Payment
TXN000191,ACC00173,ACC00002,Cash Deposit,9951.67,AED,2024-02-07 02:11:00,Mobile,Canada,Australia,Completed,Loan Repayment
TXN000192,ACC00100,ACC00159,Cheque,32533.39,USD,2022-12-30 16:09:00,SWIFT,Singapore,UK,Failed,N/A
TXN000193,ACC00124,ACC00320,Online Transfer,8421.79,EUR,2022-07-24 15:12:00,SWIFT,Germany,British Virgin Islands,Failed,Trade Settlement
TXN000194,ACC00562,ACC00399,Cheque,7078.16,EUR,2022-10-17 07:52:00,Mobile,Bahamas,UK,Completed,Investment
TXN000195,ACC00606,ACC00102,Online Transfer,344661.86,EUR,2024-12-25 16:25:00,ATM,British Virgin Islands,British Virgin Islands,Completed,N/A
